date	open	high	low	close
736897.000000	302.500000	302.500000	302.500000	302.500000
736945.000000	205.500000	205.500000	205.500000	205.500000
736964.000000	145.500000	145.500000	145.500000	145.500000
736966.000000	138.500000	138.500000	138.500000	138.500000
736981.000000	97.000000	97.000000	97.000000	97.000000
736984.000000	90.000000	90.000000	90.000000	90.000000
736986.000000	90.000000	90.000000	90.000000	90.000000
736987.000000	90.000000	90.000000	90.000000	90.000000
736991.000000	86.000000	86.000000	86.000000	86.000000
736993.000000	85.000000	96.000000	84.500000	96.000000
736995.000000	99.000000	99.000000	97.000000	97.000000
736998.000000	97.500000	99.000000	97.500000	99.000000
737002.000000	103.000000	121.500000	103.000000	119.000000
737016.000000	100.500000	100.500000	100.500000	100.500000
737040.000000	95.500000	95.500000	95.500000	95.500000
737043.000000	81.500000	81.500000	76.000000	76.000000
737049.000000	131.000000	131.000000	83.000000	83.000000
737056.000000	79.000000	79.000000	79.000000	79.000000
737057.000000	74.000000	74.000000	74.000000	74.000000
737062.000000	79.500000	79.500000	74.500000	74.500000
737064.000000	60.500000	60.500000	60.500000	60.500000
737068.000000	60.500000	60.500000	60.500000	60.500000
737069.000000	68.000000	68.000000	51.500000	51.500000
737076.000000	49.500000	49.500000	49.500000	49.500000
737077.000000	37.500000	37.500000	37.500000	37.500000
737079.000000	22.000000	22.000000	22.000000	22.000000
737082.000000	26.500000	26.500000	26.500000	26.500000
737083.000000	28.500000	30.000000	26.500000	26.500000
737085.000000	28.500000	29.000000	28.500000	29.000000
737103.000000	30.500000	30.500000	30.500000	30.500000
737104.000000	30.000000	30.000000	30.000000	30.000000
737113.000000	30.000000	30.000000	29.500000	29.500000
737114.000000	30.500000	30.500000	30.500000	30.500000
737117.000000	30.000000	30.000000	30.000000	30.000000
737119.000000	26.000000	28.000000	26.000000	28.000000
737121.000000	32.500000	32.500000	30.500000	30.500000
737124.000000	30.500000	31.000000	29.500000	29.500000
737125.000000	29.000000	29.000000	29.000000	29.000000
737126.000000	25.000000	25.500000	25.000000	25.500000
737127.000000	25.000000	28.000000	25.000000	28.000000
737128.000000	26.500000	26.500000	26.500000	26.500000
737131.000000	25.500000	25.500000	25.000000	25.000000
737132.000000	24.500000	24.500000	24.000000	24.000000
737133.000000	24.000000	24.000000	24.000000	24.000000
737134.000000	23.500000	24.000000	23.000000	23.000000
737135.000000	23.000000	23.000000	23.000000	23.000000
737138.000000	23.000000	23.000000	22.000000	22.500000
737139.000000	22.000000	22.000000	20.000000	20.000000
737148.000000	10.000000	10.000000	10.000000	10.000000
737152.000000	13.500000	13.500000	13.500000	13.500000
737153.000000	11.000000	12.500000	11.000000	12.500000
737154.000000	13.000000	13.000000	12.500000	13.000000
737160.000000	14.500000	18.500000	14.500000	18.500000
737161.000000	18.000000	20.000000	17.500000	20.000000
737162.000000	19.000000	19.000000	15.500000	15.500000
737163.000000	16.500000	16.500000	16.500000	16.500000
737166.000000	16.000000	16.000000	15.500000	15.500000
737167.000000	18.000000	18.000000	18.000000	18.000000
737168.000000	18.000000	19.500000	18.000000	19.500000
737176.000000	24.000000	26.000000	24.000000	24.500000
737183.000000	22.500000	22.500000	19.500000	19.500000
737184.000000	21.500000	21.500000	21.500000	21.500000
737188.000000	21.500000	21.500000	21.500000	21.500000
737189.000000	22.500000	22.500000	22.500000	22.500000
737191.000000	20.000000	23.500000	20.000000	22.000000
737195.000000	22.000000	22.500000	20.000000	20.000000
737196.000000	23.000000	24.000000	20.500000	20.500000
737197.000000	23.000000	23.000000	23.000000	23.000000
737198.000000	23.500000	23.500000	23.500000	23.500000
737201.000000	24.500000	24.500000	24.500000	24.500000
737203.000000	24.500000	24.500000	24.500000	24.500000
737205.000000	20.500000	20.500000	20.500000	20.500000
737208.000000	18.000000	18.000000	18.000000	18.000000
