date	open	high	low	close
737134.000000	3824.000000	3896.000000	3824.000000	3872.000000
737135.000000	3918.000000	3948.000000	3918.000000	3921.000000
737138.000000	3908.000000	3916.000000	3907.000000	3910.000000
737140.000000	3871.000000	3887.000000	3871.000000	3887.000000
737141.000000	3881.000000	3881.000000	3880.000000	3880.000000
737142.000000	3919.000000	3936.000000	3891.000000	3905.000000
737145.000000	3916.000000	4098.000000	3901.000000	3978.000000
737146.000000	3991.000000	3991.000000	3950.000000	3983.000000
737147.000000	3996.000000	3996.000000	3980.000000	3980.000000
737148.000000	3966.000000	3986.000000	3937.000000	3944.000000
737149.000000	3972.000000	4060.000000	3972.000000	4016.000000
737152.000000	4015.000000	4027.000000	4000.000000	4027.000000
737153.000000	4045.000000	4050.000000	4015.000000	4035.000000
737154.000000	4035.000000	4122.000000	4035.000000	4101.000000
737159.000000	4270.000000	4270.000000	4140.000000	4140.000000
737160.000000	4179.000000	4179.000000	4110.000000	4110.000000
737161.000000	4123.000000	4136.000000	4123.000000	4125.000000
737162.000000	4103.000000	4161.000000	4103.000000	4134.000000
737163.000000	4143.000000	4178.000000	4141.000000	4174.000000
737166.000000	4173.000000	4173.000000	4137.000000	4168.000000
737167.000000	4122.000000	4138.000000	4097.000000	4130.000000
737168.000000	4131.000000	4137.000000	4088.000000	4098.000000
737169.000000	4091.000000	4109.000000	4050.000000	4052.000000
737170.000000	4051.000000	4066.000000	4042.000000	4056.000000
737173.000000	4061.000000	4091.000000	4031.000000	4036.000000
737174.000000	4040.000000	4058.000000	4028.000000	4037.000000
737175.000000	4034.000000	4047.000000	4015.000000	4022.000000
737176.000000	4028.000000	4028.000000	3980.000000	3983.000000
737177.000000	3992.000000	3995.000000	3952.000000	3959.000000
737182.000000	4003.000000	4007.000000	3983.000000	3983.000000
737183.000000	3993.000000	4029.000000	3987.000000	4020.000000
737184.000000	4015.000000	4017.000000	3985.000000	4017.000000
737187.000000	4025.000000	4092.000000	4003.000000	4060.000000
737188.000000	4050.000000	4050.000000	3985.000000	4000.000000
737189.000000	3988.000000	3990.000000	3981.000000	3984.000000
737190.000000	3972.000000	3988.000000	3967.000000	3970.000000
737191.000000	3960.000000	3960.000000	3928.000000	3930.000000
737194.000000	3923.000000	3943.000000	3905.000000	3905.000000
737195.000000	3905.000000	3922.000000	3890.000000	3890.000000
737196.000000	3869.000000	3869.000000	3707.000000	3834.000000
737197.000000	3843.000000	3843.000000	3800.000000	3825.000000
737198.000000	3810.000000	3898.000000	3810.000000	3825.000000
737201.000000	3837.000000	3848.000000	3805.000000	3842.000000
737202.000000	3841.000000	3870.000000	3833.000000	3833.000000
737203.000000	3832.000000	3832.000000	3811.000000	3813.000000
737204.000000	3820.000000	3850.000000	3820.000000	3849.000000
737205.000000	3844.000000	3847.000000	3828.000000	3828.000000
737208.000000	3848.000000	3860.000000	3839.000000	3858.000000
737209.000000	3874.000000	3891.000000	3853.000000	3883.000000
737210.000000	3889.000000	3910.000000	3888.000000	3894.000000
737211.000000	3861.000000	3879.000000	3850.000000	3871.000000
737212.000000	3883.000000	3900.000000	3876.000000	3876.000000
737215.000000	3880.000000	3928.000000	3880.000000	3920.000000
737216.000000	3933.000000	3935.000000	3908.000000	3910.000000
737217.000000	3899.000000	3911.000000	3883.000000	3890.000000
737218.000000	3853.000000	3858.000000	3851.000000	3854.000000
737219.000000	3846.000000	3846.000000	3796.000000	3805.000000
737222.000000	3818.000000	3839.000000	3818.000000	3823.000000
737223.000000	3823.000000	3828.000000	3817.000000	3824.000000
737224.000000	3837.000000	3839.000000	3828.000000	3839.000000
737225.000000	3863.000000	3870.000000	3849.000000	3852.000000
737226.000000	3856.000000	3871.000000	3830.000000	3863.000000
737230.000000	3965.000000	3965.000000	3860.000000	3898.000000
737231.000000	3899.000000	3937.000000	3899.000000	3914.000000
737232.000000	3884.000000	3893.000000	3881.000000	3881.000000
737233.000000	3862.000000	3862.000000	3857.000000	3857.000000
737236.000000	3857.000000	3887.000000	3857.000000	3887.000000
737237.000000	3877.000000	3904.000000	3877.000000	3890.000000
737238.000000	3903.000000	3929.000000	3903.000000	3921.000000
737239.000000	3920.000000	3922.000000	3905.000000	3918.000000
737240.000000	3923.000000	3931.000000	3918.000000	3931.000000
737243.000000	3936.000000	3953.000000	3911.000000	3931.000000
737244.000000	3928.000000	3936.000000	3876.000000	3885.000000
737245.000000	3890.000000	3895.000000	3862.000000	3862.000000
737246.000000	3849.000000	3881.000000	3849.000000	3881.000000
737247.000000	3880.000000	3880.000000	3798.000000	3843.000000
737250.000000	3852.000000	3865.000000	3842.000000	3846.000000
737251.000000	3810.000000	3811.000000	3790.000000	3801.000000
737252.000000	3800.000000	3819.000000	3791.000000	3791.000000
737253.000000	3782.000000	3790.000000	3773.000000	3778.000000
737254.000000	3779.000000	3779.000000	3717.000000	3717.000000
737257.000000	3721.000000	3727.000000	3685.000000	3725.000000
737258.000000	3751.000000	3751.000000	3732.000000	3734.000000
737259.000000	3743.000000	3759.000000	3721.000000	3723.000000
737260.000000	3721.000000	3739.000000	3721.000000	3739.000000
737261.000000	3758.000000	3763.000000	3722.000000	3733.000000
737264.000000	3723.000000	3734.000000	3713.000000	3713.000000
737265.000000	3743.000000	3743.000000	3722.000000	3733.000000
737266.000000	3738.000000	3760.000000	3738.000000	3760.000000
737267.000000	3749.000000	3774.000000	3746.000000	3760.000000
737268.000000	3760.000000	3760.000000	3742.000000	3749.000000
737271.000000	3759.000000	3770.000000	3759.000000	3760.000000
737272.000000	3767.000000	3780.000000	3752.000000	3757.000000
737273.000000	3766.000000	3774.000000	3735.000000	3747.000000
737274.000000	3755.000000	3755.000000	3737.000000	3744.000000
737275.000000	3740.000000	3740.000000	3712.000000	3721.000000
737278.000000	3710.000000	3749.000000	3710.000000	3746.000000
737279.000000	3744.000000	3771.000000	3744.000000	3766.000000
737280.000000	3760.000000	3865.000000	3755.000000	3853.000000
737281.000000	3840.000000	3878.000000	3839.000000	3842.000000
737282.000000	3852.000000	3871.000000	3831.000000	3845.000000
737285.000000	3853.000000	3853.000000	3794.000000	3818.000000
737286.000000	3835.000000	3854.000000	3832.000000	3848.000000
737287.000000	3855.000000	3869.000000	3855.000000	3860.000000
737288.000000	3864.000000	3874.000000	3810.000000	3844.000000
737289.000000	3839.000000	3839.000000	3823.000000	3823.000000
737292.000000	3839.000000	3839.000000	3798.000000	3816.000000
737293.000000	3807.000000	3811.000000	3785.000000	3811.000000
737294.000000	3804.000000	3818.000000	3804.000000	3818.000000
737295.000000	3811.000000	3816.000000	3777.000000	3777.000000
737296.000000	3781.000000	3792.000000	3781.000000	3791.000000
737299.000000	3772.000000	3772.000000	3745.000000	3748.000000
737300.000000	3778.000000	3779.000000	3758.000000	3764.000000
737301.000000	3775.000000	3775.000000	3754.000000	3762.000000
737302.000000	3778.000000	3783.000000	3768.000000	3768.000000
737303.000000	3755.000000	3755.000000	3755.000000	3755.000000
737306.000000	3762.000000	3774.000000	3762.000000	3766.000000
737307.000000	3777.000000	3777.000000	3759.000000	3759.000000
737308.000000	3761.000000	3761.000000	3727.000000	3729.000000
737309.000000	3735.000000	3758.000000	3720.000000	3756.000000
737310.000000	3765.000000	3782.000000	3756.000000	3771.000000
737313.000000	3776.000000	3962.000000	3762.000000	3961.000000
737314.000000	3971.000000	3991.000000	3929.000000	3940.000000
737315.000000	3933.000000	3953.000000	3920.000000	3920.000000
