date	open	high	low	close
737167.000000	52720.000000	52720.000000	52620.000000	52620.000000
737168.000000	52350.000000	53090.000000	52350.000000	53090.000000
737169.000000	53630.000000	54390.000000	53630.000000	53840.000000
737170.000000	53480.000000	53540.000000	53090.000000	53290.000000
737173.000000	53490.000000	53890.000000	53430.000000	53760.000000
737174.000000	52930.000000	53710.000000	52930.000000	53480.000000
737175.000000	53830.000000	53890.000000	53270.000000	53460.000000
737176.000000	53620.000000	53780.000000	53330.000000	53350.000000
737177.000000	53140.000000	53610.000000	53130.000000	53500.000000
737182.000000	52820.000000	52970.000000	52740.000000	52970.000000
737183.000000	52900.000000	52920.000000	52720.000000	52920.000000
737184.000000	53320.000000	53320.000000	52870.000000	53110.000000
737187.000000	52990.000000	53050.000000	52790.000000	52950.000000
737188.000000	53160.000000	53190.000000	52960.000000	53060.000000
737189.000000	52610.000000	52740.000000	52310.000000	52600.000000
737190.000000	52870.000000	52920.000000	52620.000000	52710.000000
737191.000000	53220.000000	53220.000000	53050.000000	53110.000000
737194.000000	53170.000000	53380.000000	53170.000000	53270.000000
737195.000000	53050.000000	53080.000000	52800.000000	52880.000000
737196.000000	52610.000000	52780.000000	52370.000000	52620.000000
737197.000000	52550.000000	52820.000000	52550.000000	52650.000000
737198.000000	52710.000000	52950.000000	52710.000000	52900.000000
737201.000000	52730.000000	53160.000000	52620.000000	53080.000000
737202.000000	53250.000000	53250.000000	53060.000000	53060.000000
737203.000000	53510.000000	53820.000000	53320.000000	53450.000000
737204.000000	53120.000000	53120.000000	52960.000000	53010.000000
737205.000000	53080.000000	53300.000000	53030.000000	53160.000000
737208.000000	53120.000000	53200.000000	52990.000000	53180.000000
737209.000000	52960.000000	53370.000000	52960.000000	53370.000000
737210.000000	53260.000000	53660.000000	52460.000000	52460.000000
737211.000000	52570.000000	53080.000000	52570.000000	53000.000000
737212.000000	52800.000000	53080.000000	52630.000000	53000.000000
737215.000000	53110.000000	54040.000000	53110.000000	53420.000000
737216.000000	53720.000000	53860.000000	53550.000000	53860.000000
737217.000000	54060.000000	54940.000000	54060.000000	54830.000000
737218.000000	55060.000000	55890.000000	55030.000000	55720.000000
737219.000000	55890.000000	56180.000000	55280.000000	55340.000000
737222.000000	55660.000000	56040.000000	55560.000000	55650.000000
737223.000000	55470.000000	55720.000000	55300.000000	55500.000000
737224.000000	55540.000000	55540.000000	55000.000000	55050.000000
737225.000000	55270.000000	55550.000000	55070.000000	55160.000000
737226.000000	55010.000000	55260.000000	54810.000000	55260.000000
737230.000000	54280.000000	54380.000000	53150.000000	53160.000000
737231.000000	53170.000000	53500.000000	53070.000000	53480.000000
737232.000000	53230.000000	53410.000000	52980.000000	53200.000000
737233.000000	53240.000000	53240.000000	52990.000000	53200.000000
737236.000000	53170.000000	53330.000000	52900.000000	52950.000000
737237.000000	53020.000000	53060.000000	52550.000000	52850.000000
737238.000000	52800.000000	52980.000000	52730.000000	52800.000000
737239.000000	52800.000000	53320.000000	52800.000000	52890.000000
737240.000000	52600.000000	53030.000000	52380.000000	52950.000000
737243.000000	52760.000000	52780.000000	52240.000000	52430.000000
737244.000000	52580.000000	52770.000000	52370.000000	52720.000000
737245.000000	52300.000000	52570.000000	50910.000000	50930.000000
737246.000000	51130.000000	51180.000000	50090.000000	50090.000000
737247.000000	50300.000000	50570.000000	49580.000000	49980.000000
737250.000000	49990.000000	50890.000000	49680.000000	50840.000000
737251.000000	50680.000000	50940.000000	50410.000000	50550.000000
737252.000000	50440.000000	50440.000000	48060.000000	48590.000000
737253.000000	48690.000000	49600.000000	48170.000000	49440.000000
737254.000000	49340.000000	49600.000000	49180.000000	49510.000000
737257.000000	49550.000000	49980.000000	49450.000000	49540.000000
737258.000000	49510.000000	49800.000000	49260.000000	49550.000000
737259.000000	49330.000000	49430.000000	48800.000000	48920.000000
737260.000000	48930.000000	49660.000000	48860.000000	49230.000000
737261.000000	48720.000000	49140.000000	48630.000000	49100.000000
737264.000000	49200.000000	49520.000000	48690.000000	49410.000000
737265.000000	49490.000000	49810.000000	48850.000000	49670.000000
737266.000000	50200.000000	50630.000000	49990.000000	50280.000000
737267.000000	50390.000000	50640.000000	50130.000000	50590.000000
737268.000000	50440.000000	50650.000000	50390.000000	50540.000000
737271.000000	50570.000000	50790.000000	49760.000000	49760.000000
737272.000000	49980.000000	50390.000000	49980.000000	50280.000000
737273.000000	50160.000000	50580.000000	49880.000000	50320.000000
737274.000000	49970.000000	49970.000000	49220.000000	49740.000000
737275.000000	49640.000000	49720.000000	49460.000000	49590.000000
737278.000000	49910.000000	49970.000000	49470.000000	49630.000000
737279.000000	49520.000000	49920.000000	49460.000000	49860.000000
737280.000000	49870.000000	50030.000000	49770.000000	49800.000000
737281.000000	49800.000000	50340.000000	49610.000000	50230.000000
737282.000000	50320.000000	50370.000000	49730.000000	49860.000000
737285.000000	49880.000000	50000.000000	49790.000000	49990.000000
737286.000000	50030.000000	50150.000000	49710.000000	49810.000000
737287.000000	49490.000000	49490.000000	48600.000000	48880.000000
737288.000000	48620.000000	48630.000000	47590.000000	47920.000000
737289.000000	48010.000000	48480.000000	47700.000000	47920.000000
737292.000000	47960.000000	48420.000000	47960.000000	48380.000000
737293.000000	48400.000000	48810.000000	48320.000000	48810.000000
737294.000000	48880.000000	49010.000000	48340.000000	48500.000000
737295.000000	48700.000000	48710.000000	48240.000000	48240.000000
737296.000000	48590.000000	48940.000000	48530.000000	48840.000000
737299.000000	48930.000000	49080.000000	48900.000000	49010.000000
737300.000000	49000.000000	49000.000000	48670.000000	48930.000000
737301.000000	49130.000000	49300.000000	48980.000000	49060.000000
737302.000000	49080.000000	49110.000000	48850.000000	48940.000000
737303.000000	48940.000000	49070.000000	48630.000000	48780.000000
737306.000000	48620.000000	48770.000000	48070.000000	48360.000000
737307.000000	48310.000000	48370.000000	47830.000000	47830.000000
737308.000000	47620.000000	47620.000000	47100.000000	47560.000000
737309.000000	47510.000000	47820.000000	47480.000000	47690.000000
737310.000000	47940.000000	48090.000000	47570.000000	47680.000000
