date	open	high	low	close
736593.000000	11685.000000	11835.000000	11685.000000	11835.000000
736594.000000	11830.000000	11920.000000	11830.000000	11905.000000
736595.000000	11840.000000	12050.000000	11840.000000	11940.000000
736596.000000	11980.000000	12070.000000	11955.000000	12070.000000
736599.000000	12015.000000	12015.000000	11905.000000	11935.000000
736600.000000	11910.000000	11995.000000	11910.000000	11975.000000
736601.000000	11865.000000	11980.000000	11860.000000	11950.000000
736602.000000	11995.000000	12045.000000	11950.000000	11950.000000
736603.000000	11975.000000	12020.000000	11870.000000	11905.000000
736613.000000	12005.000000	12005.000000	11885.000000	11950.000000
736614.000000	11950.000000	12070.000000	11950.000000	12060.000000
736615.000000	12045.000000	12110.000000	12025.000000	12070.000000
736616.000000	12130.000000	12195.000000	12060.000000	12185.000000
736617.000000	11955.000000	12550.000000	11955.000000	12400.000000
736620.000000	12375.000000	12475.000000	12200.000000	12230.000000
736621.000000	12200.000000	12360.000000	12195.000000	12355.000000
736622.000000	12300.000000	12370.000000	12120.000000	12120.000000
736623.000000	12140.000000	12180.000000	12095.000000	12130.000000
736624.000000	12040.000000	12215.000000	12040.000000	12165.000000
736627.000000	12230.000000	12360.000000	12225.000000	12355.000000
736628.000000	12375.000000	12765.000000	12345.000000	12750.000000
736629.000000	12795.000000	13115.000000	12790.000000	12830.000000
736630.000000	12875.000000	12905.000000	12660.000000	12770.000000
736631.000000	12750.000000	13000.000000	12725.000000	12970.000000
736634.000000	13015.000000	13135.000000	12930.000000	13075.000000
736635.000000	13110.000000	13210.000000	13035.000000	13115.000000
736636.000000	13105.000000	13115.000000	12780.000000	12830.000000
736637.000000	12890.000000	13015.000000	12825.000000	12985.000000
736638.000000	13015.000000	13085.000000	12895.000000	12935.000000
736641.000000	12935.000000	13125.000000	12935.000000	13050.000000
736642.000000	13040.000000	13100.000000	12940.000000	13000.000000
736643.000000	13035.000000	13145.000000	13000.000000	13060.000000
736644.000000	13095.000000	13585.000000	13095.000000	13560.000000
736645.000000	13555.000000	13665.000000	13365.000000	13625.000000
736648.000000	13780.000000	14200.000000	13115.000000	13655.000000
736649.000000	13585.000000	13760.000000	13210.000000	13210.000000
736650.000000	13280.000000	13390.000000	13085.000000	13195.000000
736651.000000	13060.000000	13195.000000	13000.000000	13110.000000
736652.000000	13065.000000	13285.000000	13065.000000	13250.000000
736655.000000	13490.000000	13560.000000	13185.000000	13545.000000
736656.000000	13630.000000	13775.000000	13505.000000	13680.000000
736657.000000	13680.000000	13810.000000	12840.000000	13660.000000
736658.000000	13640.000000	13875.000000	13490.000000	13805.000000
736659.000000	13820.000000	14000.000000	13790.000000	13990.000000
736662.000000	13990.000000	14340.000000	13865.000000	14235.000000
736663.000000	14175.000000	14255.000000	13730.000000	13730.000000
736664.000000	13750.000000	13780.000000	13350.000000	13435.000000
736665.000000	13510.000000	13720.000000	13510.000000	13615.000000
736666.000000	13555.000000	13800.000000	13555.000000	13600.000000
736669.000000	13555.000000	13610.000000	13490.000000	13500.000000
736670.000000	13555.000000	13670.000000	13490.000000	13550.000000
736671.000000	13550.000000	13670.000000	13415.000000	13670.000000
736672.000000	13665.000000	13740.000000	13440.000000	13570.000000
736673.000000	13645.000000	13760.000000	13435.000000	13740.000000
736676.000000	13735.000000	13880.000000	13665.000000	13765.000000
736677.000000	13715.000000	13795.000000	13715.000000	13740.000000
736678.000000	13750.000000	13750.000000	13510.000000	13545.000000
736679.000000	13575.000000	13575.000000	13415.000000	13555.000000
736680.000000	13545.000000	13575.000000	13495.000000	13495.000000
736683.000000	13445.000000	13460.000000	13235.000000	13235.000000
736684.000000	13220.000000	13295.000000	13120.000000	13205.000000
736685.000000	13220.000000	13315.000000	13170.000000	13260.000000
736686.000000	13235.000000	13320.000000	13170.000000	13195.000000
736687.000000	13130.000000	13300.000000	13115.000000	13190.000000
736690.000000	13230.000000	13260.000000	12925.000000	13090.000000
736691.000000	13100.000000	13335.000000	13035.000000	13335.000000
736692.000000	13200.000000	13380.000000	12900.000000	13145.000000
736693.000000	13105.000000	13210.000000	13000.000000	13195.000000
736694.000000	13125.000000	13290.000000	13085.000000	13230.000000
736698.000000	13190.000000	13240.000000	13015.000000	13015.000000
736699.000000	13050.000000	13050.000000	12930.000000	13045.000000
736700.000000	13045.000000	13105.000000	12920.000000	12935.000000
736701.000000	12960.000000	13000.000000	12850.000000	12880.000000
