date	open	high	low	close
736621.000000	37540.000000	37560.000000	37540.000000	37560.000000
736622.000000	37600.000000	37600.000000	37500.000000	37500.000000
736623.000000	37420.000000	37700.000000	37310.000000	37660.000000
736624.000000	37580.000000	37580.000000	37450.000000	37450.000000
736627.000000	37540.000000	37720.000000	37490.000000	37720.000000
736628.000000	37700.000000	38190.000000	37650.000000	38180.000000
736629.000000	38000.000000	38020.000000	37650.000000	37910.000000
736630.000000	38020.000000	38020.000000	37960.000000	37980.000000
736631.000000	38260.000000	38420.000000	38250.000000	38400.000000
736634.000000	38400.000000	38850.000000	38400.000000	38850.000000
736635.000000	38690.000000	39070.000000	38670.000000	39070.000000
736636.000000	39000.000000	39260.000000	38820.000000	38850.000000
736637.000000	38980.000000	39190.000000	38920.000000	39160.000000
736638.000000	39320.000000	39730.000000	39280.000000	39450.000000
736641.000000	39370.000000	40790.000000	39370.000000	40550.000000
736642.000000	40550.000000	40800.000000	40400.000000	40710.000000
736643.000000	40670.000000	42250.000000	40670.000000	41830.000000
736644.000000	42620.000000	44080.000000	42460.000000	44080.000000
736645.000000	45770.000000	47190.000000	44670.000000	47040.000000
736648.000000	47220.000000	48030.000000	43900.000000	45680.000000
736649.000000	45430.000000	46140.000000	43780.000000	43790.000000
736650.000000	43850.000000	44680.000000	43780.000000	44500.000000
736651.000000	44380.000000	44380.000000	43710.000000	43910.000000
736652.000000	44190.000000	44720.000000	44090.000000	44500.000000
736655.000000	44550.000000	45530.000000	44120.000000	45450.000000
736656.000000	45470.000000	46700.000000	45360.000000	46630.000000
736657.000000	46080.000000	46490.000000	45950.000000	46240.000000
736658.000000	46090.000000	49040.000000	45970.000000	48670.000000
736659.000000	48880.000000	49430.000000	48210.000000	48600.000000
736662.000000	48430.000000	50230.000000	48340.000000	50020.000000
736663.000000	49810.000000	49810.000000	47510.000000	47600.000000
736664.000000	47750.000000	47800.000000	45890.000000	46420.000000
736665.000000	47390.000000	48440.000000	47290.000000	47780.000000
736666.000000	47630.000000	47860.000000	46860.000000	47280.000000
736669.000000	46960.000000	48390.000000	46960.000000	48320.000000
736670.000000	48590.000000	49950.000000	48590.000000	48920.000000
736671.000000	48900.000000	49250.000000	48700.000000	49240.000000
736672.000000	48900.000000	49040.000000	48200.000000	48260.000000
736673.000000	48600.000000	48600.000000	47640.000000	48420.000000
736676.000000	48310.000000	49610.000000	48270.000000	48830.000000
736677.000000	48060.000000	48280.000000	47210.000000	48200.000000
736678.000000	48400.000000	48400.000000	47220.000000	47600.000000
736679.000000	47360.000000	48060.000000	47350.000000	47830.000000
736680.000000	47420.000000	48090.000000	47200.000000	47620.000000
736683.000000	47060.000000	47360.000000	46630.000000	46630.000000
736684.000000	46380.000000	46490.000000	45490.000000	46000.000000
736685.000000	46210.000000	46570.000000	46090.000000	46390.000000
736686.000000	46360.000000	46400.000000	45500.000000	45610.000000
736687.000000	45440.000000	46260.000000	45300.000000	46110.000000
736690.000000	45990.000000	46190.000000	44750.000000	45500.000000
736691.000000	45570.000000	45970.000000	45180.000000	45860.000000
736692.000000	45870.000000	47160.000000	45840.000000	46680.000000
736693.000000	46490.000000	47070.000000	46390.000000	47070.000000
736694.000000	46860.000000	46870.000000	46310.000000	46700.000000
736698.000000	47410.000000	47600.000000	47120.000000	47120.000000
736699.000000	47180.000000	47300.000000	46090.000000	46790.000000
736700.000000	46630.000000	47390.000000	46630.000000	47030.000000
736701.000000	46750.000000	46910.000000	46240.000000	46310.000000
736704.000000	46310.000000	46650.000000	46180.000000	46400.000000
736705.000000	46470.000000	46880.000000	46290.000000	46790.000000
736706.000000	47260.000000	48380.000000	47250.000000	48020.000000
736707.000000	47870.000000	48160.000000	47770.000000	47930.000000
736708.000000	48340.000000	48790.000000	48180.000000	48230.000000
736711.000000	48290.000000	49360.000000	48290.000000	48890.000000
736712.000000	48780.000000	48970.000000	47550.000000	47700.000000
736713.000000	47840.000000	47840.000000	45990.000000	47170.000000
736714.000000	46960.000000	47340.000000	46880.000000	47220.000000
736715.000000	47100.000000	47140.000000	46410.000000	46460.000000
736718.000000	46580.000000	47590.000000	46450.000000	47100.000000
736719.000000	47000.000000	47630.000000	46950.000000	47630.000000
736720.000000	48050.000000	48720.000000	47610.000000	48360.000000
736721.000000	48130.000000	48810.000000	48130.000000	48740.000000
736729.000000	47760.000000	48120.000000	47260.000000	47450.000000
736732.000000	47450.000000	47570.000000	47100.000000	47350.000000
736733.000000	47290.000000	47680.000000	47290.000000	47570.000000
736734.000000	47440.000000	48420.000000	47440.000000	48420.000000
736735.000000	48540.000000	48630.000000	48160.000000	48270.000000
736736.000000	48210.000000	48710.000000	48000.000000	48560.000000
736739.000000	48680.000000	51820.000000	48660.000000	51000.000000
736740.000000	50910.000000	51000.000000	50510.000000	50700.000000
736741.000000	50810.000000	50900.000000	49160.000000	49650.000000
736742.000000	49650.000000	50050.000000	49480.000000	49480.000000
736743.000000	49580.000000	49580.000000	49070.000000	49350.000000
736746.000000	48880.000000	49640.000000	48760.000000	49550.000000
736747.000000	49690.000000	50030.000000	49610.000000	49650.000000
736748.000000	49740.000000	49910.000000	49300.000000	49400.000000
736749.000000	49190.000000	49610.000000	49000.000000	49000.000000
736750.000000	49350.000000	49350.000000	47970.000000	48700.000000
736753.000000	48660.000000	49030.000000	48320.000000	48540.000000
736754.000000	48860.000000	48860.000000	48400.000000	48580.000000
736755.000000	48740.000000	49600.000000	48580.000000	49490.000000
736756.000000	49700.000000	49940.000000	49360.000000	49420.000000
736757.000000	49050.000000	49180.000000	48750.000000	49130.000000
736760.000000	49080.000000	49340.000000	48650.000000	48780.000000
736761.000000	48650.000000	48650.000000	48360.000000	48580.000000
736762.000000	48330.000000	48420.000000	47810.000000	48160.000000
736763.000000	48120.000000	48170.000000	47130.000000	47290.000000
736764.000000	47290.000000	47430.000000	46780.000000	47290.000000
736767.000000	47450.000000	48070.000000	47170.000000	48070.000000
736768.000000	48030.000000	48130.000000	47890.000000	48030.000000
736769.000000	47790.000000	48420.000000	47590.000000	48300.000000
736770.000000	48580.000000	48920.000000	48390.000000	48770.000000
736771.000000	48870.000000	48870.000000	48380.000000	48450.000000
736774.000000	48610.000000	49050.000000	48570.000000	48650.000000
736775.000000	48670.000000	48980.000000	47790.000000	48080.000000
736776.000000	47930.000000	47980.000000	47140.000000	47350.000000
736777.000000	47420.000000	47960.000000	47250.000000	47900.000000
736778.000000	47640.000000	48000.000000	47470.000000	47880.000000
736781.000000	47730.000000	47730.000000	46940.000000	47000.000000
736782.000000	46850.000000	47640.000000	46370.000000	47440.000000
736783.000000	47580.000000	48200.000000	47380.000000	48130.000000
736784.000000	48100.000000	48560.000000	47890.000000	48110.000000
736785.000000	48280.000000	49170.000000	48280.000000	48500.000000
736790.000000	48010.000000	48340.000000	47840.000000	48140.000000
736791.000000	48570.000000	49160.000000	48510.000000	48610.000000
736792.000000	48630.000000	48880.000000	47780.000000	47780.000000
736795.000000	47480.000000	48200.000000	47470.000000	47810.000000
736796.000000	48200.000000	48200.000000	47240.000000	47250.000000
736797.000000	47530.000000	47590.000000	46760.000000	46800.000000
736798.000000	46730.000000	47140.000000	46200.000000	47030.000000
736799.000000	46830.000000	47000.000000	46420.000000	46700.000000
736802.000000	46850.000000	48140.000000	46620.000000	46990.000000
736803.000000	47160.000000	47400.000000	46210.000000	46320.000000
736804.000000	46360.000000	46460.000000	45570.000000	46270.000000
736805.000000	46160.000000	46470.000000	45190.000000	45900.000000
736806.000000	46090.000000	46450.000000	45800.000000	46340.000000
736809.000000	46170.000000	46300.000000	45840.000000	46240.000000
736810.000000	46160.000000	46590.000000	45900.000000	46390.000000
736811.000000	46590.000000	46870.000000	46370.000000	46680.000000
736812.000000	46760.000000	46880.000000	46660.000000	46710.000000
736813.000000	46740.000000	46840.000000	46300.000000	46650.000000
736817.000000	47020.000000	47390.000000	47020.000000	47110.000000
736818.000000	47180.000000	47300.000000	46920.000000	46940.000000
736819.000000	46470.000000	46470.000000	45420.000000	45620.000000
736820.000000	45210.000000	45660.000000	45100.000000	45330.000000
736823.000000	45470.000000	45840.000000	44920.000000	44920.000000
736824.000000	44850.000000	45120.000000	44720.000000	44960.000000
736825.000000	44960.000000	45500.000000	44960.000000	45130.000000
736826.000000	45320.000000	45580.000000	44930.000000	45540.000000
736827.000000	45830.000000	45840.000000	45110.000000	45250.000000
736830.000000	45370.000000	45800.000000	45210.000000	45800.000000
736831.000000	45860.000000	45860.000000	45330.000000	45440.000000
736832.000000	45590.000000	45890.000000	45550.000000	45660.000000
736833.000000	45480.000000	45720.000000	45200.000000	45270.000000
736834.000000	44930.000000	45650.000000	44910.000000	45550.000000
736837.000000	45840.000000	46290.000000	45750.000000	46040.000000
736838.000000	46310.000000	46380.000000	46040.000000	46070.000000
736839.000000	46190.000000	46400.000000	45760.000000	46040.000000
736840.000000	46190.000000	46310.000000	45980.000000	46210.000000
736841.000000	46170.000000	46540.000000	46100.000000	46260.000000
736846.000000	45950.000000	46080.000000	45400.000000	45470.000000
736847.000000	45550.000000	45740.000000	45320.000000	45600.000000
736848.000000	45680.000000	45800.000000	45500.000000	45600.000000
736851.000000	45200.000000	45650.000000	45090.000000	45490.000000
736852.000000	45390.000000	45530.000000	45120.000000	45160.000000
736853.000000	45000.000000	45470.000000	44880.000000	45090.000000
736854.000000	45180.000000	45520.000000	45040.000000	45510.000000
736855.000000	45690.000000	46160.000000	45680.000000	46140.000000
736858.000000	46160.000000	46790.000000	46160.000000	46560.000000
736859.000000	46410.000000	46520.000000	46000.000000	46040.000000
736860.000000	45900.000000	46190.000000	45780.000000	46130.000000
736861.000000	46000.000000	46090.000000	45600.000000	45790.000000
736862.000000	45780.000000	45970.000000	45570.000000	45660.000000
736865.000000	45780.000000	45980.000000	45650.000000	45870.000000
736866.000000	45970.000000	46280.000000	45970.000000	46070.000000
736867.000000	45830.000000	45870.000000	45590.000000	45750.000000
736868.000000	46050.000000	46430.000000	45960.000000	46000.000000
736869.000000	46260.000000	46940.000000	46120.000000	46900.000000
736872.000000	46860.000000	47050.000000	46580.000000	47000.000000
736873.000000	46880.000000	46930.000000	46630.000000	46900.000000
736874.000000	46880.000000	47190.000000	46820.000000	47140.000000
736875.000000	47100.000000	47790.000000	46990.000000	47700.000000
736876.000000	47710.000000	47950.000000	47510.000000	47730.000000
736879.000000	47630.000000	47780.000000	47500.000000	47730.000000
736880.000000	47600.000000	47670.000000	47070.000000	47150.000000
736881.000000	47200.000000	47500.000000	47200.000000	47250.000000
736882.000000	47040.000000	47090.000000	46820.000000	47090.000000
736883.000000	47040.000000	47250.000000	46910.000000	47240.000000
736886.000000	47020.000000	47150.000000	46860.000000	46920.000000
736887.000000	46800.000000	47290.000000	46700.000000	47160.000000
736888.000000	47000.000000	47610.000000	46840.000000	47400.000000
736889.000000	47450.000000	47660.000000	47260.000000	47510.000000
736890.000000	47560.000000	47560.000000	47070.000000	47280.000000
736893.000000	47340.000000	48030.000000	47240.000000	47910.000000
736894.000000	48100.000000	48160.000000	47680.000000	47790.000000
736895.000000	47840.000000	48070.000000	47780.000000	48070.000000
736896.000000	47990.000000	48020.000000	47680.000000	47880.000000
736897.000000	47920.000000	48190.000000	47510.000000	48100.000000
736900.000000	48260.000000	48280.000000	47830.000000	47880.000000
736901.000000	47980.000000	48790.000000	47900.000000	48660.000000
736902.000000	49040.000000	50900.000000	49040.000000	50190.000000
736903.000000	50100.000000	50550.000000	50040.000000	50190.000000
736904.000000	50370.000000	50550.000000	49670.000000	50060.000000
736907.000000	50200.000000	51000.000000	50050.000000	50820.000000
736908.000000	50430.000000	50620.000000	50250.000000	50340.000000
736909.000000	50330.000000	50520.000000	49960.000000	50170.000000
736910.000000	50200.000000	50590.000000	49980.000000	49980.000000
736911.000000	50220.000000	50650.000000	50110.000000	50420.000000
736914.000000	50400.000000	51060.000000	50160.000000	50440.000000
736915.000000	50460.000000	51160.000000	50350.000000	50450.000000
736916.000000	50450.000000	51460.000000	50450.000000	51310.000000
736917.000000	51210.000000	51370.000000	50640.000000	50790.000000
736918.000000	50690.000000	50730.000000	49760.000000	49970.000000
736921.000000	50210.000000	50480.000000	49980.000000	50060.000000
736922.000000	50200.000000	50400.000000	50060.000000	50330.000000
736923.000000	50330.000000	50400.000000	49880.000000	50170.000000
736924.000000	50540.000000	51680.000000	50530.000000	51470.000000
736925.000000	51090.000000	51230.000000	50620.000000	51060.000000
736928.000000	51100.000000	51920.000000	50650.000000	51650.000000
736929.000000	51640.000000	52210.000000	51370.000000	52190.000000
736930.000000	52270.000000	52330.000000	51300.000000	51560.000000
736931.000000	51510.000000	52150.000000	51360.000000	51890.000000
736932.000000	51860.000000	52840.000000	51780.000000	52770.000000
736935.000000	52770.000000	52970.000000	52030.000000	52920.000000
736936.000000	52960.000000	53050.000000	52430.000000	52670.000000
736937.000000	52880.000000	52980.000000	52510.000000	52700.000000
736938.000000	52530.000000	52880.000000	52360.000000	52820.000000
736939.000000	52960.000000	52960.000000	52560.000000	52800.000000
736942.000000	52530.000000	53400.000000	52500.000000	53150.000000
736943.000000	53080.000000	53700.000000	53020.000000	53610.000000
736944.000000	53400.000000	53480.000000	52650.000000	53160.000000
736945.000000	53030.000000	53280.000000	52620.000000	52720.000000
736946.000000	52730.000000	52830.000000	51600.000000	51730.000000
736949.000000	51620.000000	51760.000000	50870.000000	51470.000000
736950.000000	51700.000000	51880.000000	51360.000000	51620.000000
736951.000000	51000.000000	51440.000000	50940.000000	50970.000000
736952.000000	50560.000000	50780.000000	50320.000000	50330.000000
736953.000000	50250.000000	50560.000000	50110.000000	50330.000000
736956.000000	50220.000000	50690.000000	49820.000000	50630.000000
736957.000000	50570.000000	50820.000000	50390.000000	50640.000000
