date	open	high	low	close
736774.000000	18820.000000	18820.000000	18460.000000	18460.000000
736777.000000	18695.000000	18975.000000	18445.000000	18715.000000
736778.000000	18675.000000	18675.000000	18135.000000	18530.000000
736781.000000	18485.000000	18485.000000	18200.000000	18200.000000
736782.000000	17725.000000	17725.000000	17525.000000	17545.000000
736783.000000	17655.000000	17860.000000	17550.000000	17765.000000
736784.000000	17685.000000	17825.000000	17685.000000	17825.000000
736790.000000	17800.000000	17800.000000	17795.000000	17795.000000
736791.000000	17990.000000	17990.000000	17935.000000	17935.000000
736792.000000	17735.000000	17735.000000	17730.000000	17730.000000
736795.000000	16660.000000	16980.000000	16660.000000	16825.000000
736796.000000	16835.000000	16835.000000	16835.000000	16835.000000
736797.000000	16920.000000	16920.000000	16550.000000	16805.000000
736799.000000	17065.000000	17115.000000	16845.000000	16850.000000
736802.000000	17290.000000	17290.000000	17230.000000	17230.000000
736803.000000	17185.000000	17185.000000	16865.000000	16865.000000
736804.000000	16445.000000	16450.000000	16050.000000	16130.000000
736805.000000	16395.000000	16415.000000	16280.000000	16320.000000
736806.000000	16420.000000	16455.000000	16410.000000	16410.000000
736809.000000	16085.000000	16085.000000	16085.000000	16085.000000
736810.000000	16145.000000	16145.000000	16145.000000	16145.000000
736811.000000	16440.000000	16505.000000	16425.000000	16470.000000
736812.000000	16460.000000	16475.000000	16440.000000	16440.000000
736813.000000	16540.000000	16570.000000	16540.000000	16570.000000
736817.000000	16965.000000	16970.000000	16965.000000	16970.000000
736819.000000	16300.000000	16300.000000	16300.000000	16300.000000
736820.000000	16390.000000	16390.000000	16390.000000	16390.000000
736823.000000	16340.000000	16390.000000	16340.000000	16390.000000
736825.000000	16465.000000	16465.000000	16465.000000	16465.000000
736826.000000	16425.000000	16425.000000	16425.000000	16425.000000
736827.000000	16305.000000	16305.000000	16275.000000	16275.000000
736830.000000	16205.000000	16205.000000	16200.000000	16200.000000
736831.000000	16025.000000	16025.000000	16025.000000	16025.000000
736832.000000	15980.000000	15980.000000	15980.000000	15980.000000
736838.000000	16040.000000	16040.000000	16040.000000	16040.000000
736840.000000	15990.000000	16175.000000	15975.000000	15975.000000
736841.000000	16125.000000	16125.000000	16125.000000	16125.000000
736848.000000	16205.000000	16330.000000	16205.000000	16330.000000
736851.000000	16635.000000	16635.000000	16600.000000	16600.000000
736852.000000	16615.000000	16720.000000	16615.000000	16720.000000
736854.000000	16550.000000	16800.000000	16550.000000	16800.000000
736855.000000	16755.000000	16950.000000	16670.000000	16950.000000
736858.000000	16950.000000	16950.000000	16950.000000	16950.000000
736859.000000	16850.000000	16850.000000	16805.000000	16830.000000
736861.000000	16575.000000	16575.000000	16575.000000	16575.000000
736862.000000	16560.000000	16805.000000	16560.000000	16800.000000
736865.000000	16700.000000	16750.000000	16675.000000	16750.000000
736866.000000	17275.000000	17275.000000	17265.000000	17265.000000
736867.000000	17015.000000	17015.000000	16990.000000	16990.000000
736873.000000	17075.000000	17110.000000	17075.000000	17110.000000
736874.000000	17340.000000	17495.000000	17340.000000	17385.000000
736876.000000	17350.000000	17350.000000	17080.000000	17080.000000
736879.000000	17355.000000	17355.000000	17355.000000	17355.000000
736881.000000	17315.000000	17315.000000	16980.000000	16985.000000
736882.000000	16950.000000	16985.000000	16595.000000	16970.000000
736886.000000	17300.000000	17300.000000	17300.000000	17300.000000
736887.000000	17260.000000	17260.000000	17260.000000	17260.000000
736888.000000	17535.000000	17535.000000	17535.000000	17535.000000
736890.000000	17495.000000	17495.000000	17215.000000	17215.000000
736893.000000	17310.000000	17540.000000	17310.000000	17540.000000
736894.000000	17625.000000	17625.000000	17430.000000	17470.000000
736895.000000	17410.000000	17410.000000	17315.000000	17375.000000
736896.000000	17450.000000	17450.000000	17450.000000	17450.000000
736897.000000	17425.000000	17425.000000	17425.000000	17425.000000
736900.000000	17570.000000	17570.000000	17570.000000	17570.000000
736902.000000	17985.000000	18015.000000	17985.000000	18015.000000
736903.000000	17750.000000	17980.000000	17750.000000	17930.000000
736904.000000	17980.000000	17980.000000	17965.000000	17965.000000
736908.000000	18125.000000	18125.000000	18110.000000	18120.000000
736909.000000	18005.000000	18035.000000	18005.000000	18035.000000
736911.000000	18400.000000	18440.000000	18400.000000	18440.000000
736916.000000	19200.000000	19240.000000	19185.000000	19240.000000
736917.000000	19310.000000	19310.000000	19010.000000	19160.000000
736918.000000	19055.000000	19055.000000	18720.000000	18720.000000
736921.000000	18970.000000	18970.000000	18970.000000	18970.000000
736922.000000	19000.000000	19000.000000	18975.000000	18975.000000
736923.000000	19185.000000	19185.000000	19185.000000	19185.000000
736924.000000	19310.000000	20080.000000	19310.000000	20080.000000
736925.000000	19680.000000	19680.000000	19340.000000	19530.000000
736928.000000	19660.000000	19760.000000	19215.000000	19235.000000
736929.000000	19225.000000	19260.000000	18900.000000	19030.000000
736930.000000	19215.000000	19565.000000	19215.000000	19565.000000
736931.000000	19325.000000	19395.000000	19165.000000	19165.000000
736932.000000	19000.000000	19130.000000	19000.000000	19010.000000
736935.000000	18890.000000	18890.000000	18690.000000	18690.000000
736937.000000	18990.000000	19060.000000	18850.000000	19060.000000
736938.000000	18965.000000	18965.000000	18965.000000	18965.000000
736939.000000	19095.000000	19095.000000	19015.000000	19015.000000
736942.000000	19240.000000	19315.000000	19240.000000	19315.000000
736943.000000	19015.000000	19015.000000	18960.000000	18960.000000
736944.000000	18500.000000	18640.000000	18500.000000	18620.000000
736945.000000	18535.000000	18535.000000	18210.000000	18210.000000
736946.000000	18275.000000	18275.000000	17950.000000	17950.000000
736949.000000	17700.000000	17700.000000	17700.000000	17700.000000
736951.000000	17965.000000	17965.000000	17965.000000	17965.000000
736952.000000	18200.000000	18200.000000	18195.000000	18200.000000
736953.000000	18560.000000	18560.000000	18515.000000	18515.000000
736956.000000	18120.000000	18120.000000	18120.000000	18120.000000
736957.000000	18640.000000	18640.000000	18640.000000	18640.000000
