date	open	high	low	close
736593.000000	17585.000000	17735.000000	17585.000000	17720.000000
736594.000000	17840.000000	17840.000000	17795.000000	17795.000000
736595.000000	17580.000000	17830.000000	17580.000000	17830.000000
736596.000000	17870.000000	17955.000000	17870.000000	17895.000000
736599.000000	17855.000000	17855.000000	17315.000000	17620.000000
736600.000000	17705.000000	18030.000000	17705.000000	18030.000000
736601.000000	18065.000000	18065.000000	17905.000000	18035.000000
736602.000000	18140.000000	18140.000000	18140.000000	18140.000000
736603.000000	18195.000000	18265.000000	18195.000000	18265.000000
736613.000000	16960.000000	18405.000000	16960.000000	18390.000000
736614.000000	18280.000000	18280.000000	18140.000000	18140.000000
736615.000000	17820.000000	17830.000000	17765.000000	17795.000000
736616.000000	17820.000000	17820.000000	17635.000000	17675.000000
736617.000000	17530.000000	17745.000000	17510.000000	17745.000000
736620.000000	17900.000000	17925.000000	17785.000000	17880.000000
736621.000000	17915.000000	18120.000000	17915.000000	18120.000000
736622.000000	18175.000000	18175.000000	17965.000000	17965.000000
736623.000000	18095.000000	18165.000000	18000.000000	18140.000000
736624.000000	18125.000000	18125.000000	18125.000000	18125.000000
736627.000000	18085.000000	18085.000000	18015.000000	18075.000000
736628.000000	18180.000000	18900.000000	18115.000000	18825.000000
736629.000000	18805.000000	18805.000000	18610.000000	18665.000000
736630.000000	18685.000000	18700.000000	18660.000000	18660.000000
736631.000000	18695.000000	19285.000000	18695.000000	18940.000000
736634.000000	18995.000000	19175.000000	18935.000000	19175.000000
736635.000000	19285.000000	19785.000000	19165.000000	19745.000000
736636.000000	19590.000000	19590.000000	19135.000000	19185.000000
736637.000000	19260.000000	19525.000000	19210.000000	19525.000000
736638.000000	19670.000000	19930.000000	19490.000000	19490.000000
736641.000000	19540.000000	20035.000000	19485.000000	19800.000000
736642.000000	19900.000000	19995.000000	19610.000000	19785.000000
736643.000000	19755.000000	20100.000000	19585.000000	19740.000000
736644.000000	19930.000000	20775.000000	19880.000000	20735.000000
736645.000000	20595.000000	20790.000000	20425.000000	20700.000000
736648.000000	20660.000000	21465.000000	20200.000000	21185.000000
736649.000000	21125.000000	21920.000000	20855.000000	20855.000000
736650.000000	20900.000000	21515.000000	20900.000000	21010.000000
736651.000000	21195.000000	21195.000000	20210.000000	20370.000000
736652.000000	20530.000000	20795.000000	20400.000000	20740.000000
736655.000000	20885.000000	21160.000000	20765.000000	21160.000000
736656.000000	21165.000000	21640.000000	21000.000000	21630.000000
736657.000000	21435.000000	21555.000000	21245.000000	21480.000000
736658.000000	21280.000000	22550.000000	21270.000000	22295.000000
736659.000000	22510.000000	22865.000000	22420.000000	22865.000000
736662.000000	22995.000000	24180.000000	22910.000000	24180.000000
736663.000000	24180.000000	24855.000000	23255.000000	23525.000000
736664.000000	23745.000000	23745.000000	22505.000000	22505.000000
736665.000000	22610.000000	23000.000000	22400.000000	23000.000000
736666.000000	23025.000000	23025.000000	21975.000000	21975.000000
736669.000000	22435.000000	22665.000000	22435.000000	22665.000000
736670.000000	22700.000000	23220.000000	22700.000000	22905.000000
736671.000000	22805.000000	23285.000000	22760.000000	23285.000000
736672.000000	23360.000000	23635.000000	22750.000000	22775.000000
736673.000000	22965.000000	23185.000000	22300.000000	22575.000000
736676.000000	22735.000000	22950.000000	22555.000000	22700.000000
736677.000000	22510.000000	22715.000000	22465.000000	22615.000000
736678.000000	22740.000000	22930.000000	22260.000000	22605.000000
736679.000000	22675.000000	23145.000000	22475.000000	22955.000000
736680.000000	22805.000000	23075.000000	22555.000000	22760.000000
736683.000000	22570.000000	22690.000000	21790.000000	21790.000000
736684.000000	21680.000000	21680.000000	21000.000000	21245.000000
736685.000000	21390.000000	21685.000000	21390.000000	21530.000000
736686.000000	21440.000000	21445.000000	20970.000000	21010.000000
736687.000000	21020.000000	21560.000000	21020.000000	21390.000000
736690.000000	21270.000000	21270.000000	19905.000000	20035.000000
736691.000000	20055.000000	20380.000000	20050.000000	20380.000000
736692.000000	20350.000000	21020.000000	20285.000000	20850.000000
736693.000000	20915.000000	21210.000000	20840.000000	21100.000000
736694.000000	20970.000000	21060.000000	20780.000000	21060.000000
736698.000000	21170.000000	21335.000000	20885.000000	21055.000000
736699.000000	21190.000000	21190.000000	20655.000000	21165.000000
736700.000000	21310.000000	21610.000000	21310.000000	21465.000000
736701.000000	21315.000000	21475.000000	21210.000000	21210.000000
736704.000000	21220.000000	21705.000000	21170.000000	21695.000000
736705.000000	21660.000000	22620.000000	21660.000000	22620.000000
736706.000000	22665.000000	22665.000000	22335.000000	22435.000000
736707.000000	22400.000000	22465.000000	22175.000000	22390.000000
736708.000000	22750.000000	22750.000000	22185.000000	22220.000000
736711.000000	22490.000000	23060.000000	22490.000000	22885.000000
736712.000000	22670.000000	22675.000000	21830.000000	21865.000000
736713.000000	22055.000000	22510.000000	22055.000000	22400.000000
736714.000000	22290.000000	22395.000000	22210.000000	22370.000000
736715.000000	22380.000000	22500.000000	22050.000000	22050.000000
736718.000000	22145.000000	22900.000000	22145.000000	22785.000000
736719.000000	22710.000000	22730.000000	22535.000000	22535.000000
736720.000000	22785.000000	22935.000000	22610.000000	22610.000000
736721.000000	22620.000000	23230.000000	22610.000000	22915.000000
736729.000000	24495.000000	24495.000000	22365.000000	22415.000000
736732.000000	22620.000000	22620.000000	22310.000000	22310.000000
736733.000000	22350.000000	22640.000000	22335.000000	22590.000000
736734.000000	22585.000000	22985.000000	22585.000000	22775.000000
736735.000000	23030.000000	23035.000000	22930.000000	22945.000000
736736.000000	23105.000000	23465.000000	23050.000000	23445.000000
736739.000000	23550.000000	24245.000000	23550.000000	23965.000000
736740.000000	23970.000000	23970.000000	23685.000000	23940.000000
736741.000000	23485.000000	23685.000000	23395.000000	23620.000000
736742.000000	23505.000000	23810.000000	23195.000000	23300.000000
736743.000000	23185.000000	23420.000000	23120.000000	23235.000000
736746.000000	23170.000000	23170.000000	22710.000000	22845.000000
736747.000000	23230.000000	23535.000000	23230.000000	23320.000000
736748.000000	23465.000000	23465.000000	23030.000000	23040.000000
736749.000000	23260.000000	23400.000000	22850.000000	22975.000000
736750.000000	23110.000000	23130.000000	22560.000000	22830.000000
736753.000000	22975.000000	23225.000000	22710.000000	22880.000000
736754.000000	22960.000000	23030.000000	22790.000000	22840.000000
736755.000000	22960.000000	23340.000000	22945.000000	23270.000000
736756.000000	23410.000000	23445.000000	23175.000000	23265.000000
736757.000000	23265.000000	23265.000000	22610.000000	22865.000000
736760.000000	22905.000000	22910.000000	22280.000000	22285.000000
736761.000000	22315.000000	22470.000000	22205.000000	22355.000000
736762.000000	22355.000000	22370.000000	21860.000000	22110.000000
736763.000000	22110.000000	22215.000000	21545.000000	21655.000000
736764.000000	21685.000000	22035.000000	21680.000000	21980.000000
736767.000000	22200.000000	22650.000000	21920.000000	22650.000000
736768.000000	22600.000000	22665.000000	22345.000000	22515.000000
736769.000000	22515.000000	22820.000000	22160.000000	22710.000000
736770.000000	22815.000000	23310.000000	22815.000000	23305.000000
736771.000000	22705.000000	23520.000000	22705.000000	23300.000000
736774.000000	23530.000000	23865.000000	23450.000000	23700.000000
736775.000000	23730.000000	23755.000000	23315.000000	23360.000000
736776.000000	23440.000000	23550.000000	22970.000000	23130.000000
