date	open	high	low	close
736593.000000	82600.000000	82950.000000	82600.000000	82940.000000
736595.000000	83120.000000	85070.000000	83120.000000	84490.000000
736596.000000	84950.000000	85170.000000	84190.000000	85170.000000
736599.000000	84970.000000	85410.000000	83700.000000	84250.000000
736600.000000	84320.000000	85350.000000	82910.000000	85350.000000
736601.000000	84520.000000	85330.000000	84230.000000	84890.000000
736602.000000	84680.000000	86300.000000	84460.000000	84460.000000
736603.000000	84570.000000	85640.000000	83370.000000	84030.000000
736613.000000	83740.000000	84570.000000	83210.000000	84480.000000
736614.000000	84550.000000	85700.000000	84550.000000	85700.000000
736615.000000	85260.000000	85800.000000	84630.000000	85070.000000
736616.000000	85410.000000	85620.000000	83610.000000	84000.000000
736617.000000	83940.000000	84820.000000	83400.000000	84500.000000
736620.000000	84340.000000	85200.000000	84340.000000	84640.000000
736621.000000	84760.000000	84760.000000	83790.000000	84570.000000
736622.000000	84710.000000	85000.000000	83370.000000	83730.000000
736623.000000	83440.000000	84000.000000	82690.000000	83590.000000
736624.000000	83180.000000	83330.000000	82230.000000	82250.000000
736627.000000	82160.000000	83400.000000	81950.000000	83300.000000
736628.000000	83220.000000	84620.000000	83220.000000	84300.000000
736629.000000	84430.000000	85000.000000	83350.000000	83680.000000
736630.000000	83800.000000	84500.000000	83200.000000	83850.000000
736631.000000	84080.000000	85300.000000	84070.000000	85180.000000
736634.000000	85180.000000	86600.000000	84900.000000	86570.000000
736635.000000	86660.000000	87000.000000	85620.000000	86340.000000
736636.000000	86340.000000	87000.000000	84700.000000	84880.000000
736637.000000	85280.000000	86000.000000	85000.000000	85880.000000
736638.000000	86370.000000	86680.000000	85500.000000	85600.000000
736641.000000	85620.000000	91170.000000	85500.000000	90700.000000
736642.000000	91090.000000	93610.000000	89900.000000	92900.000000
736643.000000	92510.000000	94300.000000	91130.000000	93490.000000
736644.000000	94650.000000	98780.000000	94200.000000	98780.000000
736645.000000	98420.000000	100070.000000	95600.000000	99050.000000
736648.000000	98990.000000	102500.000000	92010.000000	94510.000000
736649.000000	94850.000000	97000.000000	92340.000000	93500.000000
736650.000000	93600.000000	95690.000000	93560.000000	95510.000000
736651.000000	94510.000000	95260.000000	93800.000000	94130.000000
736652.000000	94990.000000	94990.000000	92810.000000	93710.000000
736655.000000	93820.000000	94770.000000	91210.000000	94200.000000
736656.000000	94650.000000	97470.000000	93890.000000	96330.000000
736657.000000	95810.000000	96440.000000	95250.000000	95900.000000
736658.000000	95340.000000	99980.000000	95340.000000	97700.000000
736659.000000	97770.000000	99300.000000	96750.000000	98200.000000
736662.000000	97920.000000	100840.000000	97100.000000	100510.000000
736663.000000	100000.000000	101600.000000	95790.000000	96170.000000
736664.000000	96580.000000	96580.000000	91700.000000	92760.000000
736665.000000	94010.000000	95500.000000	93050.000000	94590.000000
736666.000000	94550.000000	94940.000000	92890.000000	93900.000000
736669.000000	93900.000000	97500.000000	93750.000000	96780.000000
736670.000000	97510.000000	98120.000000	96000.000000	96620.000000
736671.000000	96620.000000	98480.000000	96220.000000	98100.000000
736672.000000	98060.000000	98500.000000	95430.000000	96260.000000
736673.000000	96260.000000	96990.000000	94200.000000	96400.000000
736676.000000	96400.000000	99200.000000	95700.000000	95890.000000
736677.000000	95900.000000	97360.000000	95650.000000	97350.000000
736678.000000	97420.000000	98070.000000	95000.000000	97720.000000
736679.000000	97720.000000	98390.000000	95840.000000	97450.000000
736680.000000	96870.000000	97890.000000	96050.000000	96590.000000
736683.000000	96190.000000	96670.000000	94700.000000	94780.000000
736684.000000	94550.000000	94550.000000	92250.000000	93960.000000
736685.000000	93960.000000	94680.000000	93500.000000	93960.000000
736686.000000	93880.000000	94070.000000	91090.000000	91400.000000
736687.000000	91330.000000	92650.000000	91010.000000	91550.000000
736690.000000	91010.000000	91750.000000	85390.000000	85600.000000
736691.000000	85550.000000	87220.000000	85190.000000	86920.000000
736692.000000	86720.000000	88810.000000	86680.000000	87250.000000
736693.000000	87390.000000	87960.000000	86320.000000	87770.000000
736694.000000	87300.000000	87800.000000	86330.000000	86920.000000
736698.000000	87490.000000	88420.000000	86880.000000	87420.000000
736699.000000	87540.000000	87870.000000	84880.000000	86600.000000
736700.000000	86400.000000	87560.000000	86100.000000	86660.000000
736701.000000	86660.000000	87270.000000	86000.000000	86230.000000
736704.000000	86340.000000	88080.000000	86340.000000	87850.000000
736705.000000	86980.000000	89250.000000	86980.000000	88620.000000
736706.000000	88710.000000	89790.000000	88710.000000	89190.000000
736707.000000	88940.000000	89610.000000	86760.000000	87190.000000
736708.000000	85490.000000	87870.000000	85070.000000	86990.000000
736711.000000	86720.000000	89060.000000	86600.000000	87970.000000
736712.000000	88000.000000	88610.000000	85520.000000	86590.000000
736713.000000	86980.000000	87500.000000	85900.000000	86410.000000
736714.000000	86570.000000	86860.000000	86000.000000	86400.000000
736715.000000	86150.000000	86300.000000	83250.000000	83290.000000
736718.000000	83450.000000	84800.000000	83310.000000	84120.000000
736719.000000	83970.000000	84380.000000	83340.000000	83970.000000
736720.000000	84020.000000	84250.000000	82900.000000	83060.000000
736721.000000	82870.000000	84640.000000	82660.000000	83960.000000
736729.000000	87010.000000	87900.000000	85050.000000	86160.000000
736732.000000	86470.000000	88050.000000	86350.000000	87790.000000
736733.000000	87950.000000	88320.000000	87300.000000	87760.000000
736734.000000	87910.000000	88730.000000	87420.000000	88460.000000
736735.000000	88820.000000	88970.000000	88100.000000	88240.000000
736736.000000	88560.000000	88600.000000	87450.000000	88380.000000
736739.000000	88550.000000	91200.000000	88550.000000	90840.000000
736740.000000	91140.000000	91870.000000	90360.000000	91840.000000
736741.000000	92030.000000	92470.000000	90150.000000	91410.000000
736742.000000	91400.000000	93710.000000	90510.000000	92110.000000
736743.000000	92120.000000	93400.000000	91300.000000	92300.000000
736746.000000	92470.000000	93500.000000	91700.000000	93260.000000
736747.000000	93330.000000	94110.000000	92810.000000	93150.000000
736748.000000	93180.000000	93430.000000	90790.000000	91390.000000
736749.000000	91270.000000	92180.000000	89810.000000	90280.000000
736750.000000	90610.000000	90990.000000	89110.000000	90900.000000
736753.000000	90730.000000	93240.000000	90300.000000	92520.000000
736754.000000	92630.000000	93200.000000	92100.000000	92400.000000
736755.000000	92600.000000	93120.000000	90900.000000	92850.000000
736756.000000	92920.000000	93550.000000	92380.000000	92840.000000
736757.000000	92650.000000	92660.000000	91180.000000	92490.000000
736760.000000	92490.000000	93500.000000	92050.000000	92750.000000
736761.000000	92790.000000	93280.000000	92230.000000	92810.000000
736762.000000	92670.000000	92740.000000	89310.000000	89790.000000
736763.000000	89730.000000	89900.000000	84800.000000	85760.000000
736764.000000	85630.000000	86770.000000	85300.000000	85360.000000
736767.000000	85510.000000	86460.000000	83750.000000	85810.000000
736768.000000	85820.000000	87100.000000	85230.000000	85690.000000
736769.000000	85900.000000	87290.000000	85110.000000	86760.000000
736770.000000	86810.000000	87700.000000	86600.000000	87240.000000
736771.000000	87220.000000	87240.000000	85850.000000	86160.000000
736774.000000	86430.000000	87200.000000	86020.000000	86190.000000
736775.000000	86190.000000	86850.000000	85430.000000	86000.000000
736776.000000	85900.000000	86700.000000	84000.000000	84020.000000
