date	open	high	low	close
736600.000000	14910.000000	14910.000000	14910.000000	14910.000000
736602.000000	14900.000000	14905.000000	14900.000000	14905.000000
736603.000000	15195.000000	15195.000000	15195.000000	15195.000000
736613.000000	15410.000000	15410.000000	15410.000000	15410.000000
736615.000000	15240.000000	15260.000000	15240.000000	15260.000000
736616.000000	15140.000000	15140.000000	15000.000000	15035.000000
736621.000000	15180.000000	15250.000000	15180.000000	15250.000000
736623.000000	14840.000000	15250.000000	14840.000000	15250.000000
736624.000000	15180.000000	15290.000000	15050.000000	15290.000000
736627.000000	15230.000000	15230.000000	15230.000000	15230.000000
736628.000000	15260.000000	15825.000000	15260.000000	15825.000000
736629.000000	15965.000000	15965.000000	15735.000000	15850.000000
736630.000000	16005.000000	16005.000000	16005.000000	16005.000000
736634.000000	16020.000000	16240.000000	16020.000000	16230.000000
736635.000000	16220.000000	16415.000000	16205.000000	16415.000000
736636.000000	16275.000000	16275.000000	16265.000000	16265.000000
736637.000000	16110.000000	16110.000000	16110.000000	16110.000000
736638.000000	16505.000000	16545.000000	16490.000000	16545.000000
736641.000000	16545.000000	17080.000000	16545.000000	16840.000000
736642.000000	17115.000000	17115.000000	16675.000000	16760.000000
736643.000000	16725.000000	16755.000000	16725.000000	16755.000000
736644.000000	17400.000000	17405.000000	17400.000000	17405.000000
736645.000000	17535.000000	17870.000000	17345.000000	17355.000000
736648.000000	17340.000000	18325.000000	17095.000000	17210.000000
736649.000000	17765.000000	17960.000000	17765.000000	17960.000000
736650.000000	18275.000000	18410.000000	18275.000000	18410.000000
736652.000000	17625.000000	17625.000000	17610.000000	17610.000000
736655.000000	17910.000000	17970.000000	17910.000000	17970.000000
736656.000000	18415.000000	18880.000000	18415.000000	18745.000000
736657.000000	18765.000000	18825.000000	18690.000000	18825.000000
736658.000000	18750.000000	19135.000000	18730.000000	19135.000000
736659.000000	19185.000000	19440.000000	19085.000000	19160.000000
736662.000000	20015.000000	20625.000000	19560.000000	20605.000000
736663.000000	20870.000000	21480.000000	20870.000000	21410.000000
736664.000000	21580.000000	21640.000000	20535.000000	20570.000000
736665.000000	20410.000000	20930.000000	20335.000000	20775.000000
736666.000000	20775.000000	20775.000000	19600.000000	19815.000000
736669.000000	19735.000000	20045.000000	19345.000000	20045.000000
736670.000000	20000.000000	20270.000000	19865.000000	20055.000000
736671.000000	20485.000000	20790.000000	20255.000000	20750.000000
736672.000000	21125.000000	21125.000000	20285.000000	20490.000000
736673.000000	20750.000000	20750.000000	20105.000000	20290.000000
736676.000000	20360.000000	20360.000000	20360.000000	20360.000000
736677.000000	20345.000000	20505.000000	20080.000000	20080.000000
736678.000000	20765.000000	20765.000000	20185.000000	20280.000000
736679.000000	20220.000000	20685.000000	20220.000000	20685.000000
736680.000000	20370.000000	20370.000000	19955.000000	19955.000000
736683.000000	19865.000000	19865.000000	18725.000000	18725.000000
736684.000000	18565.000000	18565.000000	17945.000000	18085.000000
736685.000000	18250.000000	18755.000000	18065.000000	18620.000000
736686.000000	18405.000000	18405.000000	18025.000000	18025.000000
736687.000000	18405.000000	18465.000000	18285.000000	18310.000000
736690.000000	17965.000000	17965.000000	17230.000000	17230.000000
736691.000000	17520.000000	17600.000000	17435.000000	17600.000000
736692.000000	17555.000000	17885.000000	17535.000000	17800.000000
736693.000000	17645.000000	17775.000000	17600.000000	17710.000000
736694.000000	17640.000000	17705.000000	17435.000000	17590.000000
736698.000000	17700.000000	17800.000000	17695.000000	17695.000000
736699.000000	17470.000000	17665.000000	17470.000000	17665.000000
736700.000000	17900.000000	17915.000000	17860.000000	17865.000000
736701.000000	17940.000000	18075.000000	17890.000000	17905.000000
736704.000000	17960.000000	18100.000000	17945.000000	18035.000000
736705.000000	18070.000000	18865.000000	18070.000000	18865.000000
